stage,team_size,months_since_foundation,funding_total_usd,funding_rounds,monthly_active_users,revenue_mrr_usd,monthly_growth_rate,stage_num
seed,6,13,1710549.3124723388,2,8703.014363881104,440.67215488345744,0.7767984372086307,1
scale_up,696,83,829398442.8334591,10,7911326.161026529,683622.0257959097,0.8746262143786061,4
early,12,8,3288468.598437724,3,171658.0153424671,33679.444925475356,0.8990228306295153,2
seed,5,18,393812.4316923324,1,5345.617604819129,4108.207848894776,0.10137984246986353,1
idea,2,6,28220.829388987386,0,33.25106606994013,16.12375557190615,0.27031653627018004,0
idea,1,1,36056.61786784118,0,65.67709992332107,8.170856050205794,-0.08514107345430928,0
idea,3,4,25965.634632115158,0,161.03487947207535,35.125413137298324,-0.04902022606632016,0
series_a,105,66,40450725.71449271,2,79022.23157539219,447768.31725311367,1.2247193817561737,3
seed,5,18,83058.75753130262,0,3396.417772989819,4602.679425512773,0.012003027272682543,1
early,27,9,3313630.768250599,4,67784.74576281816,9800.3892905647,0.5986337126149912,2
idea,3,5,3744.792100099187,0,167.4945039237549,42.28494652628262,0.01697496289917831,0
scale_up,109,149,128018338.41216762,4,622165.1264059521,4187404.1302213627,0.7662679214146955,4
early,20,41,2697842.927244089,2,8464.54524646837,23004.84719260892,1.1763455072424107,2
idea,4,4,30860.979149722905,0,46.27152845188181,20.094730622363418,0.49595911785784796,0
idea,4,7,35043.284862194,0,126.15408403452413,47.79830393848016,0.18921040386615948,0
idea,2,1,20956.80872210275,1,34.38251154542087,1.0981734206059086,-0.001240435780255178,0
idea,2,10,27960.906588422906,0,19.915942708005787,3.7540174546977116,0.4782111132122294,0
seed,9,3,794239.4040212611,1,3491.2956368539294,176.0758676276175,0.7461796385522723,1
seed,6,21,1300879.0771811553,2,6253.877846911006,656.4398600241211,0.3096917111051891,1
idea,3,8,20118.652536123383,0,125.09561208493227,13.074808070106409,0.12379990134011779,0
seed,11,24,906050.8527787656,2,4456.152235324025,4236.347049813619,0.20600567855203988,1
idea,2,9,21275.28296359214,0,4.201831397272149,1.7157238208157521,0.16749532989620966,0
idea,1,6,45661.48431396353,0,165.91316628567373,62.33551091625181,0.4612366938006792,0
seed,7,20,207466.89622834706,0,6303.596593850229,1075.7781081202777,0.6274678987660728,1
seed,11,7,1598016.0900862557,1,684.7558347232988,1936.1157060510347,0.2827654570600986,1
early,39,33,7204993.962155646,3,75751.75560029891,40290.16825418749,0.897335378443766,2
idea,4,9,27128.666348297782,0,54.79775630860362,3.653488812551512,0.19353635284995155,0
seed,9,8,126331.39460138524,2,4769.371215440881,840.1002609633929,0.3547972896563887,1
seed,3,15,1769843.4216628622,0,5998.189733345064,3323.6960245542314,0.41933468041928834,1
idea,2,7,12820.65138494709,1,26.211726160858074,9.833732412928438,0.2047692151438449,0
seed,7,21,939087.4172549777,1,5384.746093214724,3586.8137651818342,0.44356334549850274,1
idea,3,12,34858.31271451752,1,172.5919246626037,47.43837954443974,-0.05874765614650753,0
idea,4,3,7922.401859495299,0,164.54058434344128,41.36140515311134,0.14101813565586588,0
series_a,105,34,10441143.427848315,4,304880.80440630915,392223.5626496213,1.467716459066259,3
scale_up,59,40,382093940.5301594,11,170706.60950562597,2337979.9051406174,1.7803069536386937,4
early,36,25,7125746.300694792,5,10509.982388834813,5738.03342959079,1.4548906458523745,2
idea,4,9,3960.6575004185406,1,3.8896100736162342,1.8199993778184749,0.14864503863109707,0
idea,1,9,525.6612270826744,0,178.66089875762455,42.60914080876546,0.22132548385867892,0
early,23,44,7873379.855786129,2,189101.6440981482,3804.5979823236594,1.8654473084395389,2
seed,5,23,294200.4659010061,0,2861.375161810457,1395.0414517389831,0.40496858737618846,1
idea,3,10,19613.352076177354,0,146.0003442161723,5.426439242270487,-0.06165943477097571,0
seed,11,13,1428635.9149960256,0,2624.1739267855633,1735.9608378110597,0.7941823453171836,1
idea,4,11,4566.286716677853,1,192.14926055427108,24.751899028765504,-0.09148201931696578,0
series_a,87,66,11443963.846382897,4,956284.7157034121,125990.49986398619,2.6595848268000126,3
idea,1,2,2887.0539733518,0,11.81002889165439,1.7444713920484682,-0.03774619387848618,0
early,40,32,3772639.7546624737,2,34507.27106053759,19841.27487160706,0.7265699532362924,2
idea,4,6,39700.72251329814,0,68.41388693151107,7.675455904689371,0.04297380233185494,0
seed,4,6,378963.61224436807,0,5152.985649801062,4223.98790594073,0.07960507699250563,1
seed,9,21,495853.6454087454,1,9261.982375712998,3299.967250676586,0.3887684128615969,1
idea,2,7,35908.397378025686,1,119.9194520088108,41.37959304551922,0.20837326801442482,0
scale_up,968,120,327787075.18448883,8,6908915.143020774,1440025.125337401,3.7350712381715496,4
early,9,41,1475793.0196775834,3,10058.81664871008,47477.49604818184,1.436762170679144,2
series_a,47,82,21144557.43274758,4,580779.5400516286,491836.976522971,0.8006437016637127,3
series_a,15,73,19663627.768608466,5,17688.97573242903,251125.085071548,2.9608134645580155,3
seed,4,21,70404.07301067849,2,4630.274053895512,1087.9396996582225,0.133778144993968,1
series_a,27,17,24693942.688728083,2,261444.90584249096,440069.16762564564,0.3597414705173009,3
idea,2,9,36120.56922317723,1,101.82708258431983,44.37552383677879,0.4197362183472061,0
idea,4,3,3401.8657045834843,0,53.35890988676617,22.899588174690646,0.36663674604067586,0
idea,1,8,9143.226337743621,1,127.12639972800798,14.355089680228621,0.3666304934435304,0
idea,4,5,6852.640141407773,0,163.2184705828523,69.5139581667117,0.4458462120276103,0
seed,4,17,1223266.997468797,1,1605.8033093665067,3758.990817934665,0.5682686162687683,1
idea,1,3,25913.986034435555,1,34.831338479079264,7.74348822497974,0.328675810331469,0
early,13,27,3171329.3090725774,1,101074.50196272845,16817.679878944666,0.5533099041881587,2
seed,8,9,915600.514685565,0,3076.0323022069597,3105.5316245510153,0.3018000558611551,1
idea,4,5,1937.8467777091234,0,152.95524842501783,19.25758322820646,0.3840641417892604,0
seed,8,5,875679.0427370445,1,5477.008104606545,667.0816776160354,0.6916434019733182,1
idea,2,1,29251.758435933094,0,104.83925421266147,47.736719476811835,0.06028644192238958,0
early,10,37,6466733.090916717,3,124492.98544479268,11773.235862079868,0.9174367507140326,2
idea,2,5,47149.139203556784,0,166.99475713659245,61.44742476714001,-0.032498121684020956,0
scale_up,865,61,442390239.66860425,7,7912051.505322691,3054175.124766633,3.340258217739262,4
early,29,36,8380147.916362953,4,195132.58287175215,4198.561120756731,1.6525866793681598,2
idea,5,6,26959.55397568165,0,153.57527272674227,16.329987900108765,0.253019413530594,0
idea,4,8,22967.18277969782,0,85.37894556466053,27.367627770000755,0.4571333197364815,0
early,38,20,9147375.274185784,4,132531.2403505977,41027.62418570425,1.511613850231116,2
early,30,17,3225117.963524253,2,131274.23938329946,2950.059239446975,1.2154805542707452,2
early,36,25,4647106.51330943,2,134317.62257588562,41241.71159826943,0.5270773564791904,2
early,10,45,3584104.73024459,2,134496.2160840808,17361.221104801145,0.5458053639284145,2
idea,4,9,2438.3159406570207,0,87.60881518107675,4.001674678980024,0.22788581661522586,0
seed,10,18,1740536.7508872007,0,4041.4222964433857,4738.980330072285,0.3965905743863297,1
idea,1,1,28638.51383434729,0,65.34777811372672,8.959601517204351,0.2578078984980655,0
series_a,61,31,42081582.26651731,4,690072.0206534752,447625.73324801156,2.099309688226841,3
seed,3,6,1355629.535249513,2,9629.189209418333,3141.735587747222,0.18410132336095697,1
idea,2,7,16116.241223471245,1,14.158287202234888,4.763072152329249,0.3855168821940447,0
idea,5,4,958.3943762488889,1,6.60238718006545,2.604400834463635,0.0259508274488309,0
idea,2,3,24718.540552287905,1,42.34287442959417,10.598834997308899,0.35538609911241836,0
idea,4,3,7838.021432581965,1,118.73692398174664,26.595388254914607,0.0856775458677094,0
early,11,6,9840916.307409782,5,11561.324522916362,41818.678933112424,0.9427196184904529,2
seed,11,7,1895126.9988459332,0,6156.147717900998,1115.4316726448742,0.5456686649686348,1
series_a,114,61,15777756.623804025,2,310697.6957628484,55578.530538710744,0.5172171023956563,3
seed,7,14,223372.56447489,0,4551.049254105374,3668.2142018222426,0.8400188319206985,1
idea,2,1,18294.96493089038,0,43.66062236230246,2.2434627165847942,-0.08939797312273967,0
early,21,43,5738022.859333902,3,198329.056420765,9017.194002775537,1.3989663963268655,2
early,21,35,2340145.6080236896,2,177465.0275171689,14476.213851902092,0.4860446085956963,2
seed,11,11,1264964.23701633,1,4405.762297131878,1551.8544455406002,0.7621296204503246,1
early,21,46,9533060.452788785,2,125010.62729910805,24229.736941285024,1.7575859987929066,2
seed,11,16,1444898.775186765,1,7207.912147969461,140.6075313896188,0.3753213457730138,1
seed,7,5,1797311.4251920006,2,9799.045177040334,4342.764153929188,0.17396088769622553,1
seed,2,22,546563.7174466938,2,9993.535489698392,1057.156289994556,0.2651707411833556,1
idea,4,3,4198.128172336335,0,126.03501697740829,3.892111702325284,0.10658481999197555,0
idea,2,1,13585.879944908986,0,75.6631214330519,37.12726319553567,0.10533531486734271,0
idea,3,9,45305.04643402129,1,10.869619669731412,3.5758303361708146,-0.013827173158710251,0
seed,8,23,998519.4217319092,3,4486.571867605087,3542.917728839126,0.7318727372865008,1
idea,2,9,25001.6957784804,0,116.44748976051727,36.96798662326698,-0.07935807492792507,0
seed,5,11,1783133.149104751,2,7163.780594340183,1243.9853187657395,0.9102166549666445,1
series_a,30,19,1816905.9793820218,5,244110.1631163076,113638.30714806635,2.23450266123559,3
idea,3,2,47987.28607309846,1,172.75792459300067,12.427873001779243,0.3574167282243037,0
seed,11,16,876232.5211333919,0,2036.3066362161794,3752.720818768688,0.746419830009849,1
early,20,37,2406887.7475286643,2,117892.03247046373,11327.391872065406,0.5116049279149743,2
idea,4,5,12915.02145637961,0,133.853658350167,13.670237737485122,0.19274011716758108,0
idea,5,8,25369.488254257856,0,26.134526082652478,11.818722797154182,0.4213754630125377,0
idea,4,7,24618.352435062447,0,92.78725269097818,15.560738379080666,0.44890528991099277,0
idea,3,11,31854.294442735776,0,91.30177106830659,20.940294729269336,0.45796135644445135,0
series_a,97,28,9063736.863037411,4,927319.5293861973,358106.68935608177,1.3148785118994641,3
early,18,7,8566136.91521758,1,126407.84706450083,36030.02346578714,0.888197105999153,2
seed,4,17,498454.38045247155,1,7779.372604040796,3367.0986445571634,0.6144994602551925,1
series_a,26,49,2208827.7724838704,4,228492.08403748178,271321.097604783,2.988381582392029,3
early,12,16,2884717.1791750374,3,47247.8505972801,1962.9226545955423,1.764816460774031,2
idea,2,0,34012.534416518705,0,29.321660072000633,9.035333914379557,0.3740499499828627,0
series_a,28,58,45052175.14982471,5,142684.64537580186,66722.42266069907,2.5481390978898366,3
seed,6,19,972915.7564828756,3,9082.224374319278,437.0840393554193,0.9364933313102257,1
early,33,14,8070680.166671183,3,58185.49172360311,47660.743839753864,0.14722728547837027,2
series_a,55,81,14403559.42109491,3,983031.5166768663,272870.49168235186,1.5576273353016352,3
idea,1,7,46613.34419604861,1,164.53149369608548,37.80629156820202,0.22520917908783564,0
idea,4,8,6279.105135508034,0,42.03839374376928,11.277337389629569,0.39154052726145205,0
idea,4,7,7860.194177847712,1,103.67309266706413,13.124956874969213,0.27609974264904036,0
seed,3,16,1869496.2315166024,0,7363.510183595733,4332.255316245208,0.5208821784475111,1
early,14,18,106212.41462171609,3,183550.2064719708,38463.844924212084,0.2041982409044638,2
